NM_000014.6	A2M
NM_001330707.2	ZNF131
NM_001330723.2	SNX27
NM_001330724.2	CDKL2
NM_001330736.2	ZNF518A
NM_001330988.2	SLC25A25
NM_001330994.2	GRIK1
NM_001331036.3	ELF2
NM_001331076.1	GPR142
NM_001332.4	CTNND2
NM_001333.4	CTSV
NM_001334.3	CTSO
NM_001335.4	CTSW
NM_001336.4	CTSZ
NM_001337.4	CX3CR1
NM_001338.5	CXADR
NM_001340.5	CYLC2
NM_001343.4	DAB2
NM_001344.4	DAD1
NM_001345.5	DGKA
NM_001345843.2	BRME1
NM_001346022.3	USP45
NM_001346048.2	TRIM52
NM_001346194.2	OXGR1
NM_001346218.2	UNC79
NM_001346231.2	RELCH
NM_001346249.2	RALGAPA1
NM_001346252.3	USP28
NM_001346311.2	ATG13
NM_001346.3	DGKG
NM_001346413.3	PCF11
NM_001346516.2	LCOR
NM_001346754.2	PIGW
NM_001346793.2	ANKRD2
NM_001346810.2	DLGAP2
NM_001346880.2	MFSD2B
NM_001346953.2	EXO5
NM_001347217.2	WDR13
NM_001347.4	DGKQ
NM_001347674.1	KRTAP5-4
NM_001347681.2	LOC389831
NM_001347684.2	UPK3B
NM_001347721.2	DYRK1A
NM_001347885.2	GVQW3
NM_001347886.2	DNAH3
NM_001347969.2	ENOX1
NM_001347995.2	FAM189A2
NM_001348022.3	ZNF606
NM_001348070.2	FAM236A
NM_001348072.1	FAM236B
NM_001348107.3	SPAAR
NM_001348113.2	PCOTH
NM_001348119.1	TRIM16
NM_001348129.2	NBDY
NM_001348156.2	ZNF525
NM_001348195.2	GPR42
NM_001348203.1	FAM236D
NM_001348223.2	OR4C5
NM_001348224.1	OR51J1
NM_001348233.2	OR6J1
NM_001348255.2	SMIM10L2B
NM_001348294.2	OR2J1
NM_001348323.3	TRIP12
NM_001348372.2	NCBP2L
NM_001348.3	DAPK3
NM_001348484.2	RIMS2
NM_001348543.2	TMEM229B
NM_001348680.2	SAP25
NM_001348699.2	SAXO2
NM_001348712.2	HTD2
NM_001348716.2	KDM6B
NM_001348719.2	ZNF439
NM_001348768.2	HECW2
NM_001348800.3	ZBTB20
NM_001348946.2	ABCB1
NM_001348957.2	SMIM26
NM_001349008.3	CC2D2B
NM_001349018.2	NME9
NM_001349078.2	TBC1D5
NM_001349206.2	LPIN1
NM_001349232.2	ATG7
NM_001349253.2	SCN11A
NM_001349278.2	ANKRD28
NM_001349336.2	SLC25A48
NM_001349338.3	FOXP1
NM_001349.4	DARS1
NM_001349723.3	DNAJB5
NM_001349726.2	ZNF723
NM_001349727.2	CD8B2
NM_001349798.2	FBXW7
NM_001349884.2	DRAM2
NM_001349999.2	RBFOX2
NM_001350134.2	ZNF654
NM_001350145.3	PATJ
NM_001350162.2	TEX15
NM_001350175.2	ATXN7L2
NM_001350197.2	EVI5
NM_001350280.1	C18orf12
NM_001350291.1	PRSS47
NM_001350317.2	TTLL8
NM_001350451.2	RBFOX3
NM_001350520.1	PDE4DIP
NM_001350599.2	MMS22L
NM_001350605.2	SRSF11
NM_001350709.2	DGKB
NM_001350770.2	C1orf109
NM_001350814.2	GRB10
NM_001350919.3	GOLGA8G
NM_001350920.2	GOLGA8F
NM_001350921.2	C10orf90
NM_001350931.2	C10orf82
NM_001350932.3	HIGD2B
NM_001350977.1	KRTAP20-4
NM_001350978.3	SPATA31C2
NM_001350994.2	SMIM32
NM_001351003.2	TMEM272
NM_001351015.2	R3HCC1L
NM_001351111.1	FAM236C
NM_001351114.2	HSFX4
NM_001351123.2	TEX49
NM_001351132.2	PEX5
NM_001351169.2	NT5C2
NM_001351264.2	C17orf80
NM_001351266.2	TSPAN14
NM_001351281.2	MINDY4B
NM_001351288.2	MGAT4C
NM_001351303.2	ZDHHC11B
NM_001351304.1	GGT2
NM_001351305.2	CROCC2
NM_001351307.2	DUXB
NM_001351349.3	SPDYE11
NM_001351351.3	SPDYE17
NM_001351365.2	NBPF19
NM_001351368.2	C2orf92
NM_001351372.1	NBPF26
NM_001351411.2	LPAR1
NM_001351.4	DAZL
NM_001351537.2	SLC38A11
NM_001351574.3	EXOC1L
NM_001351576.1	CCDC196
NM_001351578.2	ODF2
NM_001351589.3	C13orf42
NM_001351596.2	CCDC197
NM_001351601.3	INTS6L
NM_001351622.2	C3orf85
NM_001351661.2	MACROD2
NM_001351695.2	INTS2
NM_001351732.2	ZNF660-ZNF197
NM_001351774.2	ZNF320
NM_001352000.1	LOC110384692
NM_001352005.2	NTM
NM_001352027.3	PHF21A
NM_001352129.2	STRIT1
NM_001352171.3	SLC41A2
NM_001352186.2	ANKS1B
NM_001352248.3	SLC5A11
NM_001352389.2	STK33
NM_001352452.2	ZNF133
NM_001352514.2	HLCS
NM_001352.5	DBP
NM_001352688.2	SMIM30
NM_001352754.2	ARMC9
NM_001352837.2	ST18
NM_001352885.1	SMIM31
NM_001352888.2	CTXND1
NM_001352890.3	DENND3
NM_001352913.2	PPP2R5C
NM_001352964.2	DENND1A
NM_001353108.3	CEP63
NM_001353179.1	OVCH1
NM_001353214.3	DYM
NM_001353219.2	TRIM16L
NM_001353258.2	CYRIB
NM_001353344.2	C2orf78
NM_001353345.2	SETD1B
NM_001353425.2	LKAAEAR1
NM_001353450.2	DCAF8L2
NM_001353486.2	SPATA6L
NM_001353493.2	ASDURF
NM_001353554.2	C11orf86
NM_001353655.2	CDCP2
NM_001353694.2	TIAM1
NM_001353.6	AKR1C1
NM_001353788.2	APBA2
NM_001353803.2	ZNF875
NM_001353812.2	ATP11C
NM_001353824.2	ZNF334
NM_001353921.2	ARHGEF9
NM_001354009.3	CBSL
NM_001354046.2	ARHGEF7
NM_001354435.2	C4orf54
NM_001354437.2	GTF2H2C_2
NM_001354471.3	MS4A18
NM_001354473.2	SERTM2
NM_001354492.2	CSGALNACT1
NM_001354586.3	PRSS41
NM_001354587.1	ANKRD36
NM_001354602.2	TMEM269
NM_001354604.2	MITF
NM_001354631.1	REELD1
NM_001354639.2	PVALEF
NM_001354640.2	LMLN2
NM_001354645.2	TEX53
NM_001354658.2	EDDM13
NM_001354689.3	RAF1
NM_001354712.2	THRB
NM_001354761.2	ADD1
NM_001354768.3	NRL
NM_001354909.2	PSPC1
NM_001354930.2	RIPK1
NM_001354969.2	MDM1
NM_001354980.2	PNMA6F
NM_001355003.2	MMP24OS
NM_001355024.2	CAPS2
NM_001355042.2	C10orf143
NM_001355197.2	ZNF66
NM_001355204.2	TRAPPC2B
NM_001355213.3	OR10D3
NM_001355219.1	OR10G6
NM_001355221.1	TUBA4B
NM_001355235.2	OR2AJ1
NM_001355236.2	C3orf49
NM_001355237.2	ZNF738
NM_001355243.2	NCBP2AS2
NM_001355247.2	UBE2L5
NM_001355256.2	BRD3OS
NM_001355258.2	H3Y1
NM_001355263.2	NUTM2E
NM_001355272.2	LRRC9
NM_001355274.2	FBLL1
NM_001355276.2	CENPVL3
NM_001355277.1	CENPVL1
NM_001355278.1	CENPVL2
NM_001355281.2	NANOGP8
NM_001355283.3	RPSAP58
NM_001355292.2	OR14A2
NM_001355401.1	NPIPB12
NM_001355404.2	ZNF724
NM_001355407.2	NUDT4B
NM_001355425.1	OR1F12
NM_001355436.2	SPTB
NM_001355444.3	ZNF487
NM_001355457.2	ZC3H11B
NM_001355465.2	GOLGA8S
NM_001355469.2	GOLGA8T
NM_001355476.2	GOLGA8Q
NM_001355479.1	GGTLC3
NM_001355514.1	NPIPB2
NM_001355519.1	ETDB
NM_001355522.1	ETDA
NM_001355526.2	EFCAB10
NM_001355534.2	TEX13D
NM_001355566.1	GLYATL1B
NM_001355570.4	SPTY2D1OS
NM_001355573.2	CCDC92B
NM_001355613.1	CPHXL
NM_001356336.2	B3GALT5
NM_001356.5	DDX3X
NM_001357063.3	TMEM275
NM_001357.5	DHX9
NM_001357734.3	EIF2S3B
NM_001358008.2	GMCL2
NM_001358235.2	DCHS2
NM_001358291.2	RMI1
NM_001358345.2	SLC8B1
NM_001358351.3	SEMA6D
NM_001358.3	DHX15
NM_001358410.1	GJE1
NM_001358413.2	ZSCAN5C
NM_001358416.1	ANKRD30BL
NM_001358418.2	FAM90A26
NM_001358438.1	KLF18
NM_001358449.1	ETDC
NM_001358451.3	ABHD18
NM_001358530.2	MOCS1
NM_001358661.2	C17orf113
NM_001358664.2	GSTT4
NM_001358683.3	ANKRD40CL
NM_001358689.2	TUBB8B
NM_001358699.2	RNF227
NM_001358921.2	COQ2
NM_001359084.1	CD24
NM_001359228.2	SH2B2
NM_001359.2	DECR1
NM_001360016.2	G6PD
NM_001360171.1	LOC102725023
NM_001360236.2	JOSD1
NM_001360.3	DHCR7
NM_001360452.2	PCMT1
NM_001361041.2	FRRS1
NM_001361.5	DHODH
NM_001361665.2	FGF2
NM_001362.3	DIO3
NM_001362796.2	TMEM271
NM_001362810.2	PRR20G
NM_001362985.2	GAS2L1
NM_001363059.2	MTUS1
NM_001363066.2	CLDN5
NM_001363118.2	SLC52A2
NM_001363254.2	CCDC200
NM_001363506.1	UPK3BL2
NM_001363507.2	IQCM
NM_001363511.2	MARCOL
NM_001363514.2	DUSP13
NM_001363519.1	PDZD9
NM_001363531.2	PSTK
NM_001363538.2	TCAF2
NM_001363540.2	DOCK4
NM_001363541.2	DBN1
NM_001363555.2	MT1E
NM_001363562.2	TMEM196
NM_001363580.1	C10orf95
NM_001363.5	DKC1
NM_001363642.1	KCTD11
NM_001363644.2	TBCEL
NM_001363650.2	MYL5
NM_001363689.1	EHMT2
NM_001363705.2	UBR2
NM_001363711.2	DUOX2
NM_001363726.2	SPAG11A
NM_001363730.2	DAPK2
NM_001363758.2	GATD3B
NM_001363764.2	TEPSIN
NM_001363770.2	LOC102723996
NM_001363794.2	ARL9
NM_001363807.1	RAB41
NM_001363818.2	MTX3
NM_001363830.2	SLFN12L
NM_001363845.2	SEPTIN3
NM_001363871.2	PDE1A
NM_001363886.2	FTCDNL1
NM_001363941.2	ARMC8
NM_001364007.2	NOTCH2NLB
NM_001364013.2	NOTCH2NLC
NM_001364171.2	ODAD1
NM_001364229.2	HNRNPH1
NM_001364461.3	LOC112577516
NM_001364564.1	SALL2
NM_001364581.1	LOC112577592
NM_001364614.2	KDM1B
NM_001364669.2	C1orf232
NM_001364674.2	MBD3L2B
NM_001364677.1	MDFIC2
NM_001364689.2	C4orf50
NM_001364708.1	SPEM3
NM_001364711.1	FAM243B
NM_001364716.4	MPRIP
NM_001364730.1	ZNF69
NM_001364782.1	CES4A
NM_001364791.2	ANO2
NM_001364818.2	DEPDC4
NM_001364841.2	NKX6-3
NM_001364857.2	ADGRB2
NM_001364886.1	RGS7
NM_001364905.1	LRBA
NM_001364910.1	PPP1R42
NM_001364929.1	ECPAS
NM_001365008.2	IZUMO3
NM_001365068.1	ASTN2
NM_001365077.2	VSIG10L2
NM_001365088.1	SLC12A6
NM_001365103.2	ERFL
NM_001365156.1	RFLNA
NM_001365174.2	TEX52
NM_001365184.1	LOC105378979
NM_001365197.1	SMIM33
NM_001365225.1	ADPGK
NM_001365242.1	CPEB1
NM_001365252.1	LOC100996750
NM_001365276.2	TNXB
NM_001365304.2	LOC112694756
NM_001365308.1	BMPER
NM_001365310.2	PERCC1
NM_001365324.3	TENT4B
NM_001365341.2	SHLD3
NM_001365371.2	GOLGA6L7
NM_001365373.2	LOC100132202
NM_001365389.1	OR4N4C
NM_001365393.1	LOC105370980
NM_001365405.1	CES2
NM_001365443.2	PTTG1IP2
NM_001365455.2	C13orf46
NM_001365479.2	USP40
NM_001365480.1	CCDC88A
NM_001365536.1	SCN9A
NM_001365552.1	NEK5
NM_001365575.2	CCDC142
NM_001365584.1	NLGN4Y
NM_001365596.3	PRPF40A
NM_001365613.2	RRBP1
NM_001365618.1	LZTS3
NM_001365621.2	DLGAP4
NM_001365631.1	CLASP2
NM_001365635.2	TASOR
NM_001365666.1	PRRT1B
NM_001365672.2	COBLL1
NM_001365692.1	CCM2L
NM_001365693.1	MGAM
NM_001365700.3	LRGUK
NM_001365709.1	CNBD2
NM_001365715.1	LRCH3
NM_001365788.1	ACOT6
NM_001365790.2	KLHL33
NM_001365792.1	DAB1
NM_001365809.2	SYT7
NM_001365892.2	CCDC188
NM_001365896.1	NACA
NM_001365902.3	NFIX
NM_001365906.3	PAPLN
NM_001365915.1	SKOR1
NM_001365919.1	MSL1
NM_001365931.2	NLGN1
NM_001365951.3	KIF1B
NM_001365977.2	SEPTIN1
NM_001365999.1	SZT2
NM_001366006.2	ADGRL2
NM_001366028.2	DNAH12
NM_001366057.1	OTUD4
NM_001366078.2	CALHM4
NM_001366102.1	TDRD12
NM_001366110.1	PAX4
NM_001366122.1	KCP
NM_001366145.2	TRPM3
NM_001366157.1	WDR49
NM_001366165.2	RAVER2
NM_001366178.1	ARHGAP33
NM_001366207.1	DLG1
NM_001366230.1	ARHGAP28
NM_001366232.2	UBE2U
NM_001366244.2	GOLGA2
NM_001366245.2	LIN9
NM_001366279.2	TMPRSS7
NM_001366282.2	GOLGB1
NM_001366285.2	TBXT
NM_001366293.2	COX7A2
NM_001366298.2	BCAS1
NM_001366299.1	KHSRP
NM_001366301.1	PROCA1
NM_001366306.2	KPNA5
NM_001366318.2	FAM193A
NM_001366335.1	CCDC14
NM_001366385.1	CARD14
NM_001366386.2	CDK15
NM_001366418.1	SETDB1
NM_001366432.2	PPP4R3A
NM_001366446.1	RABGAP1L
NM_001366458.2	DCBLD1
NM_001366481.3	RPL7L1
NM_001366508.1	RGMB
NM_001366521.1	ATP2B1
NM_001366544.2	IRAG2
NM_001366661.1	CLUH
NM_001366673.1	DPY19L1
NM_001366683.2	DOCK9
NM_001366686.3	SIK3
NM_001366722.1	GRIP1
NM_001366735.2	RBM26
NM_001366737.1	GCNT4
NM_001366781.1	ODF2L
NM_001366845.3	ZNF106
NM_001366854.1	TMEM132B
NM_001366900.1	TTC21A
NM_001366906.2	CABCOCO1
NM_001366977.1	PNCK
NM_001367172.2	ZNF763
NM_001367178.1	TEDC1
NM_001367233.3	HEPH
NM_001367292.2	LGALS9B
NM_001367314.1	BEND3
NM_001367348.2	SMIM34A
NM_001367365.2	TLE7
NM_001367479.1	DNAH14
NM_001367482.1	WDR64
NM_001367484.1	GLIS1
NM_001367493.1	ARHGEF4
NM_001367498.1	CNTNAP5
NM_001367502.1	CYP27C1
NM_001367534.1	CAMK2G
NM_001367549.1	ATP13A3
NM_001367551.1	SULT6B1
NM_001367561.1	DOCK7
NM_001367607.2	ANKRD30B
NM_001367617.1	DZANK1
NM_001367624.2	ZNF469
NM_001367656.1	SYT16
NM_001367710.1	MIDEAS
NM_001367711.1	HRH2
NM_001367721.1	CASK
NM_001367757.1	ZNF275
NM_001367767.2	RASA4B
NM_001367768.3	FAM149A
NM_001367770.1	PNMA6E
NM_001367773.1	ESYT2
NM_001367799.1	ZSWIM8
NM_001367801.1	CFAP70
NM_001367805.3	KIF23
NM_001367806.1	PYGO1
NM_001367807.1	FBXL22
NM_001367823.1	ARHGEF18
NM_001367834.3	ZSWIM4
NM_001367856.1	PROSER3
NM_001367857.2	SATL1
NM_001367868.2	PLIN4
NM_001367871.1	FBRSL1
NM_001367873.1	SOX6
NM_001367886.1	BICDL1
NM_001367909.1	ZNF678
NM_001367916.1	MAGT1
NM_001367949.2	FAT3
NM_001367953.1	NXPE1
NM_001367956.1	FAM170A
NM_001367969.2	PLA2G2C
NM_001367975.1	BTG4
NM_001367977.2	SCUBE2
NM_001368120.1	PDLIM2
NM_001368128.3	PPIAL4H
NM_001368135.1	FOXO3B
NM_001368158.1	TCP11X1
NM_001368160.2	LY6L
NM_001368161.2	OOSP4B
NM_001368163.3	SMIM28
NM_001368165.1	CSNKA2IP
NM_001368169.1	LOC100505502
NM_001368231.1	LOC102723713
NM_001368237.1	LOC102723655
NM_001368238.1	LOC102724159
NM_001368242.1	LOC102724770
NM_001368249.2	LOC102724788
NM_001368251.1	LOC112267881
NM_001368253.1	LOC112268354
NM_001368254.1	LOC112268355
NM_001368369.1	IQCF6
NM_001368397.1	FRMPD4
NM_001368771.2	SEPTIN4
NM_001368809.2	AMPD2
NM_001368882.1	COL13A1
NM_001368894.2	PAX6
NM_001369057.2	DEFB112
NM_001369125.3	H2BE1
NM_001369201.2	SMIM38
NM_001369203.1	SMIM40
NM_001369216.1	SMIM41
NM_001369268.1	ACAN
NM_001369369.1	FOXN1
NM_001369.3	DNAH5
NM_001369441.2	NIF3L1
NM_001369450.1	WDR74
NM_001369496.1	TBC1D10C
NM_001369500.1	TBC1D3L
NM_001369521.1	TRIM39
NM_001369598.1	ST7
NM_001369623.2	PI4KB
NM_001369667.1	BICDL2
NM_001369741.1	ZBTB46
NM_001369769.2	KIFC2
NM_001369775.2	KLK14
NM_001369783.1	MLF1
NM_001369789.1	PWWP3A
NM_001369817.2	LRRC8B
NM_001369863.1	BEND7
NM_001369869.1	KCNE1B
NM_001369919.2	POPDC2
NM_001370062.2	UBAP2
NM_001370087.1	FFAR2
NM_001370095.3	PODNL1
NM_001370096.2	SBK2
NM_001370100.5	ZMYND11
NM_001370125.1	KLK12
NM_001370129.2	ZNF479
NM_001370148.2	CT45A3
NM_001370150.2	ISG20L2
NM_001370158.1	MAGEB16
NM_001370165.1	SYTL4
NM_001370181.1	GSTCD
NM_001370184.1	LOC102724488
NM_001370198.1	DPEP3
NM_001370215.1	ZNF71
NM_001370259.2	MEN1
NM_001370285.1	HELB
NM_001370298.3	FGD4
NM_001370299.1	AMIGO2
NM_001370.2	DNAH6
NM_001370300.1	SS18L2
NM_001370302.1	TSPAN11
NM_001370326.1	ANKFN1
NM_001370338.1	SLC7A2
NM_001370348.2	PHF3
NM_001370368.2	LOC647264
NM_001370374.1	ZNF266
NM_001370414.1	LOC114841035
NM_001370449.1	ZNF577
NM_001370461.1	GLB1L2
NM_001370464.1	MRGPRX3
NM_001370465.2	DUSP28
NM_001370466.1	NOD2
NM_001370470.1	CCDC106
NM_001370472.1	CNOT6
NM_001370475.1	SERPINB11
NM_001370476.2	SLC35B3
NM_001370485.2	OR7C1
NM_001370497.1	ABCC11
NM_001370523.4	CLEC18A
NM_001370549.1	SLC16A11
NM_001370592.1	MIF4GD
NM_001370595.2	COA8
NM_001370597.1	ATP8B2
NM_001370640.2	OR1F1
NM_001370658.1	BTD
NM_001370687.1	TCP11
NM_001370694.2	ANO7
NM_001370704.1	LOC400499
NM_001370785.2	LRRC7
NM_001370809.1	ZBTB3
NM_001370959.1	POU6F2
NM_001371072.1	USP11
NM_001371116.1	FHDC1
NM_001371189.2	UNC13B
NM_001371194.2	SEMA4D
NM_001371237.1	RNF183
NM_001371242.2	CRYBG1
NM_001371272.1	RAB11FIP5
NM_001371273.1	NYAP2
NM_001371279.1	REEP1
NM_001371321.1	C2orf50
NM_001371333.1	DIABLO
NM_001371340.3	LIMS4
NM_001371389.2	FBXO41
NM_001371390.1	CLEC4C
NM_001371395.1	USP53
NM_001371415.1	ACE2
NM_001371417.1	IL17REL
NM_001371445.1	LSM12
NM_001371533.1	FUT8
NM_001371558.1	CXCL13
NM_001371589.1	WIZ
NM_001371596.2	MFSD8
NM_001371623.1	TCOF1
NM_001371727.1	GABRB2
NM_001371762.2	CD1D
NM_001371904.1	APOA5
NM_001371909.1	C10orf67
NM_001371910.2	MAP3K2
NM_001371919.1	H3Y2
NM_001371928.1	AHDC1
NM_001371938.1	CCL26
NM_001371986.1	UNC80
NM_001372043.1	PCSK5
NM_001372051.1	CASP8
NM_001372052.1	HP1BP3
NM_001372053.1	ANKRD31
NM_001372060.1	ANHX
NM_001372062.1	PLD5
NM_001372066.1	TFAP2A
NM_001372073.1	PDGFRL
NM_001372076.1	PAX9
NM_001372078.1	REV3L
NM_001372080.1	ZSCAN29
NM_001372081.1	SPATS1
NM_001372105.2	H3-2
NM_001372106.1	DNAH10
NM_001372107.1	UNKL
NM_001372108.2	DDO
NM_001372123.1	IKZF5
NM_001372163.1	PRRG3
NM_001372179.1	PABPC1L
NM_001372327.1	SLC29A1
NM_001372.4	DNAH9
NM_001372574.1	ATXN2
NM_001374258.1	BRAF
NM_001374259.2	IL12RB2
NM_001374353.1	GLI2
NM_001374385.1	ATP8B1
NM_001374.3	DNASE1L2
NM_001374504.1	TMPRSS6
NM_001374623.1	PNPLA1
NM_001374675.1	HSF4
NM_001374736.1	DST
NM_001374828.1	ARID1B
NM_001374838.1	FOXL3
NM_001375380.1	EBF3
NM_001375.3	DNASE2
NM_001375405.1	CEP120
NM_001375462.1	LPP
NM_001375484.1	CKMT1B
NM_001375505.1	MAP2
NM_001375524.1	TRRAP
NM_001375547.2	ABI3BP
NM_001375567.1	FOCAD
NM_001375584.1	SMG7
NM_001375635.1	CDC42SE2
NM_001375657.2	LOC102723971
NM_001375670.1	ABI2
NM_001375765.1	GIGYF1
NM_001375808.2	LPIN2
NM_001375834.1	WIPF1
NM_001375847.2	LOC100133315
NM_001375883.1	GPR161
NM_001375905.1	SGMS2
NM_001375912.1	ZNF532
NM_001375977.1	C3orf86
NM_001375978.1	CHRM3
NM_001376000.2	GTF2H2C
NM_001376007.1	SLFN11
NM_001376013.1	EPB41
NM_001376049.1	FAM169A
NM_001376113.1	ZBTB38
NM_001376131.1	BTBD8
NM_001376223.1	ZNF587B
NM_001376232.1	ZP2
NM_001376256.1	CRYM
NM_001376312.2	GTDC1
NM_001376342.1	ZC3H11A
NM_001376376.1	CELF1
NM_001376491.1	ZNF165
NM_001376558.2	ARFIP2
NM_001376587.1	IFI16
NM_001376.5	DYNC1H1
NM_001376665.1	MINDY1
NM_001376852.1	TMEM181
NM_001376861.1	ATP6V1G3
NM_001376887.1	TNFSF14
NM_001376922.1	TPBG
NM_001376923.1	IL32
NM_001376924.1	DHRS9
NM_001376932.3	BPIFB3
NM_001376937.1	H3C4
NM_001377137.1	GBF1
NM_001377142.1	PLCB4
NM_001377229.1	DISP1
NM_001377236.1	AHRR
NM_001377265.1	MAPT
NM_001377275.1	PER3
NM_001377295.2	GNAT2
NM_001377299.1	NDUFS2
NM_001377303.1	L3MBTL1
NM_001377304.1	GFI1B
NM_001377321.1	ABCA10
NM_001377329.1	PLEKHG7
NM_001377334.1	PIK3C2B
NM_001377376.1	ZSCAN20
NM_001377.3	DYNC2H1
NM_001377405.1	ATXN7
NM_001377440.1	LRP2BP
NM_001377448.1	BAHCC1
NM_001377458.1	CLCC1
NM_001377500.1	EFCC1
NM_001377530.1	DMBT1
NM_001377533.1	DHRS12
NM_001377534.1	DYNLT4
NM_001377540.1	SLMAP
NM_001377935.1	RAPGEF1
NM_001377960.1	RBM12B
NM_001377989.1	FAM110B
NM_001377996.1	PPEF1
NM_001378024.1	ARHGAP32
NM_001378026.1	NBEAL1
NM_001378030.1	CCDC78
NM_001378034.2	SNX25
NM_001378067.1	MTMR4
NM_001378068.1	ANKAR
NM_001378074.1	BOC
NM_001378090.1	WASHC1
NM_001378100.1	LDLRAD4
NM_001378102.1	LRRC18
NM_001378107.1	R3HDM1
NM_001378120.1	MBD5
NM_001378122.1	SH3D19
NM_001378156.1	C1QB
NM_001378157.1	XRRA1
NM_001378183.1	PIEZO2
NM_001378188.1	CCDC187
NM_001378189.1	CFAP57
NM_001378204.1	CCDC18
NM_001378207.1	MTCL1
NM_001378211.1	SHOC1
NM_001378213.1	BCL9L
NM_001378328.1	CELSR1
NM_001378373.1	MBL2
NM_001378.3	DYNC1I2
NM_001378414.1	HDAC4
NM_001378418.1	TCF20
NM_001378423.2	SPDYE1
NM_001378452.1	ITPR1
NM_001378454.1	ALMS1
NM_001378457.1	DMXL2
NM_001378477.3	NYX
NM_001378600.1	NFILZ
NM_001378609.3	OTOGL
NM_001378615.1	CC2D2A
NM_001378687.1	ATP2C1
NM_001378743.1	CYLD
NM_001378778.1	MPDZ
NM_001378785.1	LOC100421372
NM_001378789.1	CERS3
NM_001378902.1	ROS1
NM_001378964.1	CDON
NM_001378969.1	KCND3
NM_001378974.1	FBXW11
NM_001379029.1	CERT1
NM_001379081.2	FREM1
NM_001379110.1	SLC9A6
NM_001379150.1	IRS4
NM_001379180.1	ESRRB
NM_001379200.1	TBX1
NM_001379210.1	SLC25A26
NM_001379228.1	MRAP
NM_001379270.1	CNGA1
NM_001379286.1	ZNF423
NM_001379291.1	BRD4
NM_001379301.1	HMGB4
NM_001379313.1	SRPRB
NM_001379403.1	WDR26
NM_001379451.1	BCORL1
NM_001379500.1	COL18A1
NM_001379610.1	SPINK1
NM_001379659.1	ZNF142
NM_001379692.1	BDKRB2
NM_001381.5	DOK1
NM_001381853.1	CHML
NM_001381865.2	RCC1
NM_001381874.1	IQANK1
NM_001381902.1	SAGE1
NM_001381946.1	GPR141
NM_001381984.1	ZNF23
NM_001382000.1	CCDC144A
NM_001382226.1	MLF2
NM_001382241.1	TNPO2
NM_001382266.1	RNFT2
NM_001382267.1	SERPINA12
NM_001382273.1	TNK2
NM_001382280.1	LRRC53
NM_001382289.1	FSHB
NM_001382293.1	LAMTOR5
NM_001382294.1	TOMM6
NM_001382304.1	NUTM2D
NM_001382309.1	ATXN7L3
NM_001382323.2	PKNOX2
NM_001382344.1	RGPD1
NM_001382345.1	LEUTX
NM_001382347.1	MYO5A
NM_001382358.1	HNRNPCL3
NM_001382359.1	C17orf58
NM_001382360.1	ZNF311
NM_001382368.1	FAM240C
NM_001382391.1	CSPP1
NM_001382403.1	TMEM71
NM_001382417.1	HSH2D
NM_001382422.1	EXOC3L2
NM_001382430.1	AKT1
NM_001382446.2	LOC102723623
NM_001382447.1	STEAP1B
NM_001382496.1	LLCFC1
NM_001382497.1	LOC100509620
NM_001382.4	DPAGT1
NM_001382505.2	SPDYE10P
NM_001382507.1	DMAC2L
NM_001382508.1	DROSHA
NM_001382525.2	SPDYE8
NM_001382547.2	SPDYE15
NM_001382548.1	TCERG1
NM_001382554.3	SPDYE9
NM_001382555.1	SPDYE12P
NM_001382563.2	SPDYE13
NM_001382567.1	STIM1
NM_001382585.1	GGTA1
NM_001382637.1	OTUD7A
NM_001382683.1	MBNL2
NM_001382704.1	SPDYE7P
NM_001382715.2	SPDYE21
NM_001382779.1	FBXL19
NM_001383.6	DPH1
NM_001384125.1	KIAA1109
NM_001384133.1	HPN
NM_001384134.1	MTLN
NM_001384140.1	PCDH15
NM_001384156.1	PCBP3
NM_001384189.1	CTXND2
NM_001384237.2	FAM237B
NM_001384253.1	PTCHD4
NM_001384272.1	HCRTR2
NM_001384290.1	HLA-G
NM_001384317.1	ZHX3
NM_001384332.1	SMIM43
NM_001384355.1	RAD21L1
NM_001384359.1	FUT1
NM_001384361.1	PMEL
NM_001384369.1	NRM
NM_001384474.1	LOXHD1
NM_001384479.1	AGT
NM_001384497.1	MAP4K4
NM_001384528.1	GATAD2A
NM_001384574.2	SAMD4B
NM_001384597.1	LOC105372440
NM_001384598.1	PLEKHG6
NM_001384.5	DPH2
NM_001384609.1	SLITRK5
NM_001384647.1	SNRPD2
NM_001384648.1	PRDM11
NM_001384657.1	ARHGAP20
NM_001384711.1	GLT8D2
NM_001384732.1	CPLANE1
NM_001384743.1	AMZ1
NM_001384749.1	HOXB3
NM_001384763.1	SLC22A31
NM_001384833.1	ZSCAN4
NM_001384896.1	TMEM52B
NM_001384899.1	TDRP
NM_001384900.1	SEMA3D
NM_001384910.1	GUCA1A
NM_001384911.1	TRIM49D1
NM_001384950.1	NLRC5
NM_001384980.1	NPIPB4
NM_001384994.1	GUCA1ANB
NM_001384995.1	FIGNL2
NM_001385001.1	MCTP2
NM_001385012.1	NBEA
NM_001385016.1	FAM214A
NM_001385026.1	PEAK1
NM_001385028.1	MEGF11
NM_001385079.1	PDE10A
NM_001385089.1	BEGAIN
NM_001385106.1	LRRC74A
NM_001385109.1	PHC2
NM_001385125.1	OPN1SW
NM_001385161.1	MR1
